# File written from OrientationAnalysis Version 6.5.163.1998a502a
# DateTime: ?? 8? 21 17:01:51 2022
# X_STEP: 0.333000
# Y_STEP: 0.333000
# Z_STEP: 0.000000
#
# X_MIN: 0.000000
# Y_MIN: 0.000000
# Z_MIN: 0.000000
#
# X_MAX: 48.951000
# Y_MAX: 48.951000
# Z_MAX: 0.000000
#
# X_DIM: 147
# Y_DIM: 147
# Z_DIM: 0
#
# Phase_1: 
# Symmetry_1: 62
# Features_1: 82
#
# Num_Features: 82 
#
# phi1 PHI phi2 x y z FeatureId PhaseId Symmetry rho
5.4379 0.8281 0.2844 5.4379 0.8281 0 25 1 62 5.5100e+13
5.4367 0.8262 0.2865 5.4367 0.8262 0 25 1 62 5.5100e+13
5.4361 0.8256 0.2862 5.4361 0.8256 0 25 1 62 5.5100e+13
5.4354 0.8253 0.2870 5.4354 0.8253 0 25 1 62 5.5100e+13
5.4358 0.8255 0.2872 5.4358 0.8255 0 25 1 62 5.5100e+13
5.4350 0.8255 0.2880 5.4350 0.8255 0 25 1 62 5.5100e+13
5.4365 0.8259 0.2877 5.4365 0.8259 0 25 1 62 5.5100e+13
5.4349 0.8261 0.2879 5.4349 0.8261 0 25 1 62 5.5100e+13
5.4355 0.8261 0.2872 5.4355 0.8261 0 25 1 62 5.5100e+13
5.4353 0.8263 0.2879 5.4353 0.8263 0 25 1 62 5.5100e+13
5.4355 0.8259 0.2885 5.4355 0.8259 0 25 1 62 5.5100e+13
5.4366 0.8256 0.2888 5.4366 0.8256 0 25 1 62 5.5100e+13
5.4354 0.8257 0.2893 5.4354 0.8257 0 25 1 62 5.5100e+13
5.4366 0.8256 0.2888 5.4366 0.8256 0 25 1 62 5.5100e+13
1.3559 1.6918 0.3057 1.3559 1.6918 0 29 1 62 8.5507e+13
1.3555 1.6901 0.3050 1.3555 1.6901 0 29 1 62 8.5507e+13
1.3555 1.6901 0.3050 1.3555 1.6901 0 29 1 62 8.5507e+13
1.3555 1.6901 0.3050 1.3555 1.6901 0 29 1 62 8.5507e+13
1.3562 1.6894 0.3058 1.3562 1.6894 0 29 1 62 8.5507e+13
1.3561 1.6896 0.3054 1.3561 1.6896 0 29 1 62 8.5507e+13
1.3549 1.6896 0.3058 1.3549 1.6896 0 29 1 62 8.5507e+13
1.3553 1.6891 0.3051 1.3553 1.6891 0 29 1 62 8.5507e+13
1.3555 1.6901 0.3050 1.3555 1.6901 0 29 1 62 8.5507e+13
1.3553 1.6887 0.3053 1.3553 1.6887 0 29 1 62 8.5507e+13
1.3556 1.6898 0.3048 1.3556 1.6898 0 29 1 62 8.5507e+13
1.3557 1.6899 0.3046 1.3557 1.6899 0 29 1 62 8.5507e+13
1.3552 1.6892 0.3050 1.3552 1.6892 0 29 1 62 8.5507e+13
1.3555 1.6899 0.3048 1.3555 1.6899 0 29 1 62 8.5507e+13
1.3542 1.6905 0.3064 1.3542 1.6905 0 29 1 62 8.5507e+13
1.3554 1.6901 0.3052 1.3554 1.6901 0 29 1 62 8.5507e+13
1.3555 1.6904 0.3054 1.3555 1.6904 0 29 1 62 8.5507e+13
1.3554 1.6927 0.3056 1.3554 1.6927 0 29 1 62 8.5507e+13
1.3562 1.6968 0.3053 1.3562 1.6968 0 29 1 62 8.5507e+13
1.3555 1.6901 0.3050 1.3555 1.6901 0 29 1 62 8.5507e+13
5.4980 0.9767 0.8072 5.4980 0.9767 0 72 1 62 4.4847e+13
5.4977 0.9782 0.8072 5.4977 0.9782 0 72 1 62 4.4847e+13
5.4977 0.9784 0.8069 5.4977 0.9784 0 72 1 62 4.4847e+13
5.4977 0.9788 0.8072 5.4977 0.9788 0 72 1 62 4.4847e+13
5.4980 0.9783 0.8072 5.4980 0.9783 0 72 1 62 4.4847e+13
5.4980 0.9789 0.8072 5.4980 0.9789 0 72 1 62 4.4847e+13
5.4985 0.9796 0.8067 5.4985 0.9796 0 72 1 62 4.4847e+13
5.4977 0.9782 0.8073 5.4977 0.9782 0 72 1 62 4.4847e+13
5.4979 0.9786 0.8069 5.4979 0.9786 0 72 1 62 4.4847e+13
5.4980 0.9788 0.8071 5.4980 0.9788 0 72 1 62 4.4847e+13
5.4977 0.9782 0.8073 5.4977 0.9782 0 72 1 62 4.4847e+13
5.4975 0.9776 0.8070 5.4975 0.9776 0 72 1 62 4.4847e+13
5.4977 0.9782 0.8073 5.4977 0.9782 0 72 1 62 4.4847e+13
5.4973 0.9782 0.8069 5.4973 0.9782 0 72 1 62 4.4847e+13
5.4977 0.9782 0.8073 5.4977 0.9782 0 72 1 62 4.4847e+13
5.4967 0.9786 0.8062 5.4967 0.9786 0 72 1 62 4.4847e+13
5.4977 0.9782 0.8073 5.4977 0.9782 0 72 1 62 4.4847e+13
5.4971 0.9786 0.8069 5.4971 0.9786 0 72 1 62 4.4847e+13
5.4978 0.9775 0.8066 5.4978 0.9775 0 72 1 62 4.4847e+13
5.4979 0.9774 0.8067 5.4979 0.9774 0 72 1 62 4.4847e+13
5.4972 0.9790 0.8075 5.4972 0.9790 0 72 1 62 4.4847e+13
5.4977 0.9780 0.8072 5.4977 0.9780 0 72 1 62 4.4847e+13
5.4977 0.9782 0.8073 5.4977 0.9782 0 72 1 62 4.4847e+13
5.4971 0.9783 0.8089 5.4971 0.9783 0 72 1 62 4.4847e+13
5.4977 0.9782 0.8073 5.4977 0.9782 0 72 1 62 4.4847e+13
5.4977 0.9782 0.8073 5.4977 0.9782 0 72 1 62 4.4847e+13
5.4979 0.9789 0.8089 5.4979 0.9789 0 72 1 62 4.4847e+13
5.4977 0.9782 0.8073 5.4977 0.9782 0 72 1 62 4.4847e+13
5.4980 0.9777 0.8076 5.4980 0.9777 0 72 1 62 4.4847e+13
5.4979 0.9778 0.8075 5.4979 0.9778 0 72 1 62 4.4847e+13
5.4980 0.9777 0.8075 5.4980 0.9777 0 72 1 62 4.4847e+13
5.4980 0.9776 0.8073 5.4980 0.9776 0 72 1 62 4.4847e+13
5.4977 0.9782 0.8073 5.4977 0.9782 0 72 1 62 4.4847e+13
5.4983 0.9784 0.8069 5.4983 0.9784 0 72 1 62 4.4847e+13
5.4982 0.9787 0.8069 5.4982 0.9787 0 72 1 62 4.4847e+13
5.4977 0.9775 0.8066 5.4977 0.9775 0 72 1 62 4.4847e+13
5.4977 0.9770 0.8069 5.4977 0.9770 0 72 1 62 4.4847e+13
5.4977 0.9782 0.8073 5.4977 0.9782 0 72 1 62 4.4847e+13
5.4977 0.9782 0.8073 5.4977 0.9782 0 72 1 62 4.4847e+13
5.4977 0.9782 0.8073 5.4977 0.9782 0 72 1 62 4.4847e+13
5.4977 0.9782 0.8073 5.4977 0.9782 0 72 1 62 4.4847e+13
5.4972 0.9785 0.8070 5.4972 0.9785 0 72 1 62 4.4847e+13
5.4977 0.9782 0.8073 5.4977 0.9782 0 72 1 62 4.4847e+13
1.3152 1.5910 0.0686 1.3152 1.5910 0 61 1 62 4.4864e+13
1.3155 1.5913 0.0691 1.3155 1.5913 0 61 1 62 4.4864e+13
1.3144 1.5911 0.0688 1.3144 1.5911 0 61 1 62 4.4864e+13
1.3150 1.5911 0.0692 1.3150 1.5911 0 61 1 62 4.4864e+13
1.3150 1.5910 0.0694 1.3150 1.5910 0 61 1 62 4.4864e+13
1.3154 1.5909 0.0696 1.3154 1.5909 0 61 1 62 4.4864e+13
1.3163 1.5912 0.0698 1.3163 1.5912 0 61 1 62 4.4864e+13
1.3160 1.5914 0.0692 1.3160 1.5914 0 61 1 62 4.4864e+13
1.3162 1.5914 0.0701 1.3162 1.5914 0 61 1 62 4.4864e+13
1.3162 1.5914 0.0699 1.3162 1.5914 0 61 1 62 4.4864e+13
1.3164 1.5911 0.0700 1.3164 1.5911 0 61 1 62 4.4864e+13
1.3160 1.5914 0.0692 1.3160 1.5914 0 61 1 62 4.4864e+13
1.3150 1.5910 0.0698 1.3150 1.5910 0 61 1 62 4.4864e+13
1.3141 1.5909 0.0700 1.3141 1.5909 0 61 1 62 4.4864e+13
1.3344 1.5742 0.1311 1.3344 1.5742 0 4 1 62 8.1281e+13
1.3344 1.5743 0.1311 1.3344 1.5743 0 4 1 62 8.1281e+13
1.3344 1.5742 0.1311 1.3344 1.5742 0 4 1 62 8.1281e+13
1.3345 1.5738 0.1292 1.3345 1.5738 0 4 1 62 8.1281e+13
1.3344 1.5739 0.1285 1.3344 1.5739 0 4 1 62 8.1281e+13
1.3342 1.5737 0.1289 1.3342 1.5737 0 4 1 62 8.1281e+13
